month,rank,char,opp,score
202502,36,CAMMY,ZANGIEF,4.677
202502,36,CAMMY,ED,5.006
202502,36,CAMMY,RYU,5.187
202502,36,CAMMY,AKUMA,5.334
202502,36,KEN,MAI,4.702
202502,36,KEN,DHALSIM,4.787
202502,36,KEN,E. HONDA,5.105
202502,36,KEN,KIMBERLY,5.031
202502,36,KEN,JP,4.818
202502,36,KEN,RASHID,4.982
202502,36,KEN,DEE JAY,4.854
202502,36,KEN,A.K.I.,4.945
202502,36,KEN,M. BISON,5.106
202502,36,KEN,BLANKA,5.066
202502,36,KEN,LUKE,4.939
202502,36,KEN,GUILE,4.604
202502,36,KEN,LILY,4.970
202502,36,KEN,MANON,5.056
202502,36,KEN,TERRY,4.988
202502,36,KEN,CHUN-LI,4.867
202502,36,KEN,MARISA,5.102
202502,36,KEN,CAMMY,5.056
202502,36,KEN,JURI,5.154
202502,36,KEN,JAMIE,5.044
202502,36,KEN,ZANGIEF,4.885
202502,36,KEN,ED,5.009
202502,36,KEN,RYU,4.984
202502,36,KEN,AKUMA,4.992
202502,36,JURI,MAI,4.691
202502,36,JURI,DHALSIM,4.946
202502,36,JURI,E. HONDA,4.744
202502,36,JURI,KIMBERLY,4.921
202502,36,JURI,JP,5.217
202502,36,JURI,RASHID,4.890
202502,36,JURI,DEE JAY,4.937
202502,36,JURI,A.K.I.,5.026
202502,36,JURI,M. BISON,4.934
202502,36,JURI,BLANKA,4.895
202502,36,JURI,LUKE,4.902
202502,36,JURI,GUILE,4.734
202502,36,JURI,LILY,4.945
202502,36,JURI,MANON,4.999
202502,36,JURI,TERRY,4.953
202502,36,JURI,CHUN-LI,4.830
202502,36,JURI,MARISA,5.199
202502,36,JURI,CAMMY,5.067
202502,36,JURI,KEN,4.858
202502,36,JURI,JAMIE,5.117
202502,36,JURI,ZANGIEF,5.047
202502,36,JURI,ED,4.980
202502,36,JURI,RYU,5.004
202502,36,JURI,AKUMA,5.032
202502,36,JAMIE,MAI,4.884
202502,36,JAMIE,DHALSIM,4.583
202502,36,JAMIE,E. HONDA,4.752
202502,36,JAMIE,KIMBERLY,4.901
202502,36,JAMIE,JP,4.697
202502,36,JAMIE,RASHID,5.042
202502,36,JAMIE,DEE JAY,4.736
202502,36,JAMIE,A.K.I.,4.885
202502,36,JAMIE,M. BISON,5.230
202502,36,JAMIE,BLANKA,4.733
202502,36,JAMIE,LUKE,4.939
202502,36,JAMIE,GUILE,4.620
202502,36,JAMIE,LILY,4.917
202502,36,JAMIE,MANON,5.049
202502,36,JAMIE,TERRY,4.923
202502,36,JAMIE,CHUN-LI,5.088
202502,36,JAMIE,MARISA,5.036
202502,36,JAMIE,CAMMY,5.280
202502,36,JAMIE,KEN,4.962
202502,36,JAMIE,JURI,4.891
202502,36,JAMIE,ZANGIEF,4.967
202502,36,JAMIE,ED,4.941
202502,36,JAMIE,RYU,5.030
202502,36,JAMIE,AKUMA,4.966
202502,36,ZANGIEF,MAI,4.905
202502,36,ZANGIEF,DHALSIM,3.552
202502,36,ZANGIEF,E. HONDA,5.221
202502,36,ZANGIEF,KIMBERLY,5.016
202502,36,ZANGIEF,JP,4.266
202502,36,ZANGIEF,RASHID,4.728
202502,36,ZANGIEF,DEE JAY,5.291
202502,36,ZANGIEF,A.K.I.,4.873
202502,36,ZANGIEF,M. BISON,5.495
202502,36,ZANGIEF,BLANKA,4.573
202502,36,ZANGIEF,LUKE,4.833
202502,36,ZANGIEF,GUILE,5.128
202502,36,ZANGIEF,LILY,4.447
202502,36,ZANGIEF,MANON,4.656
202502,36,ZANGIEF,TERRY,4.933
202502,36,ZANGIEF,CHUN-LI,5.002
202502,36,ZANGIEF,MARISA,4.822
202502,36,ZANGIEF,CAMMY,5.332
202502,36,ZANGIEF,KEN,5.108
202502,36,ZANGIEF,JURI,4.951
202502,36,ZANGIEF,JAMIE,5.040
202502,36,ZANGIEF,ED,4.574
202502,36,ZANGIEF,RYU,4.966
202502,36,ZANGIEF,AKUMA,5.024
202502,36,ED,MAI,4.645
202502,36,ED,DHALSIM,4.291
202502,36,ED,E. HONDA,4.828
202502,36,ED,KIMBERLY,4.454
202502,36,ED,JP,4.807
202502,36,ED,RASHID,4.751
